candle_open_time,open_price,high_price,low_price,close_price,btc_volume,candle_close_time,usd_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-05-01 02:11:00,58248.05000000,58248.55000000,58232.43000000,58232.43000000,0.04053700,2021-05-01 02:11:59.999,2361.19864466,4,0.04053700,2361.19864466,0
2021-05-01 02:12:00,58232.43000000,58235.56000000,58149.77000000,58158.75000000,1.26078500,2021-05-01 02:12:59.999,73326.93682291,60,0.35489600,20643.51839563,0
2021-05-01 02:13:00,58167.39000000,58219.80000000,58167.39000000,58209.00000000,0.16388900,2021-05-01 02:13:59.999,9536.90062901,14,0.16388900,9536.90062901,0
2021-05-01 02:14:00,58207.78000000,58223.50000000,58205.44000000,58211.56000000,0.14139600,2021-05-01 02:14:59.999,8231.94002103,9,0.06243800,3635.11663040,0
2021-05-01 02:15:00,58223.51000000,58223.51000000,58212.38000000,58221.28000000,0.04469600,2021-05-01 02:15:59.999,2602.03166856,6,0.01827000,1063.71044788,0
2021-05-01 02:16:00,58223.12000000,58234.11000000,58221.80000000,58221.80000000,0.01298500,2021-05-01 02:16:59.999,756.05001409,3,0.01083800,631.02137992,0
2021-05-01 02:17:00,58235.57000000,58251.44000000,58235.57000000,58250.00000000,0.08759200,2021-05-01 02:17:59.999,5101.77446766,5,0.07819000,4554.10678830,0
2021-05-01 02:18:00,58279.27000000,58280.62000000,58258.96000000,58280.61000000,0.01107600,2021-05-01 02:18:59.999,645.41057646,8,0.00873600,509.08026084,0
2021-05-01 02:19:00,58278.82000000,58298.81000000,58234.11000000,58278.50000000,0.70219200,2021-05-01 02:19:59.999,40924.01489460,34,0.41708200,24307.48359256,0
2021-05-01 02:20:00,58290.47000000,58312.44000000,58267.10000000,58310.76000000,0.17153900,2021-05-01 02:20:59.999,9998.16160912,17,0.15586600,9084.87966026,0
2021-05-01 02:21:00,58312.44000000,58331.10000000,58309.16000000,58331.10000000,0.12848200,2021-05-01 02:21:59.999,7491.78583012,13,0.02254400,1314.59095956,0
2021-05-01 02:22:00,58322.76000000,58322.76000000,58316.13000000,58316.13000000,0.12075300,2021-05-01 02:22:59.999,7042.09066807,7,0.00071600,41.75908900,0
